ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,FNS31260,31260.TXT,0.84078,0.05591,0.10485,3

ROUGE-2+StopWordRemoval,FNS31260,31260.TXT,0.60666,0.03568,0.06740,3

ROUGE-SU4+StopWordRemoval,FNS31260,31260.TXT,0.66192,0.03378,0.06427,3

ROUGE-L+StopWordRemoval,FNS30850,30850.TXT,0.87190,0.16247,0.27390,3

ROUGE-1+StopWordRemoval,FNS30850,30850.TXT,0.83354,0.05686,0.10645,3

ROUGE-2+StopWordRemoval,FNS30850,30850.TXT,0.64504,0.03603,0.06826,3

ROUGE-SU4+StopWordRemoval,FNS30850,30850.TXT,0.68706,0.03096,0.05926,3

ROUGE-L+StopWordRemoval,FNS31383,31383.TXT,0.70062,0.16739,0.27022,4

ROUGE-1+StopWordRemoval,FNS31383,31383.TXT,0.71792,0.07462,0.13518,4

ROUGE-2+StopWordRemoval,FNS31383,31383.TXT,0.46548,0.04040,0.07435,4

